Position,Control_MNP_III_S56_L002,Control_MNP_II_S55_L002,Control_MNP_I_S54_L002,Only_MNP_C1_S57_L002,Only_MNP_C2_S58_L002,Only_MNP_C3_S59_L002,Only_MNP_C4_S60_L002,Plasmid_Ko_P1_S61_L002,Plasmid_Ko_P2_S62_L002,Plasmid_Ko_P3_S63_L002,Plasmid_Ko_P4_S64_L002,RNP_Cas1_S65_L002,RNP_Cas2_S66_L002,RNP_Cas3_S67_L002,RNP_Cas4_S68_L002
15849164,60,50,50,43,47,48,36,57,42,39,38,54,60,62,66
15849165,60,50,50,44,47,48,36,57,43,39,38,53,59,61,65
15849166,60,49,50,44,47,48,34,56,43,40,38,50,58,62,65
15849167,60,48,49,45,47,48,34,58,43,40,38,50,58,62,64
15849168,64,47,49,45,46,48,35,58,43,40,38,49,56,60,63
15849169,64,46,48,45,48,49,34,57,43,40,36,50,56,62,63
15849170,64,46,48,45,48,49,34,58,43,40,34,50,56,63,63
15849171,63,46,47,45,48,48,34,58,42,40,34,50,56,64,63
15849172,61,46,47,45,48,49,34,58,42,40,35,50,55,64,62
15849173,61,47,46,45,48,48,34,58,41,39,35,50,55,65,61
15849174,61,46,47,45,46,49,34,58,41,39,35,48,53,65,61
15849175,61,46,47,45,46,49,32,58,41,39,35,48,52,65,61
15849176,61,47,47,45,44,49,32,58,42,39,35,48,52,67,61
15849177,63,47,47,45,44,50,32,58,42,37,34,48,53,67,60
15849178,63,48,48,46,44,50,32,58,42,37,34,48,52,67,59
15849179,65,48,48,46,44,52,33,59,42,38,35,51,52,69,59
15849180,65,48,47,45,43,51,32,59,42,36,34,51,52,65,59
15849181,65,49,47,45,42,51,32,58,42,36,34,50,52,65,59
15849182,65,49,47,45,42,53,31,59,42,35,34,50,52,67,56
15849183,66,49,47,45,42,53,30,59,41,35,34,50,51,68,56
15849184,66,48,46,46,42,52,30,59,40,35,34,49,52,69,56
15849185,66,48,46,44,42,52,29,59,40,35,34,49,52,67,55
15849186,65,48,46,43,43,52,30,60,40,35,34,49,52,68,55
15849187,65,49,46,42,44,50,31,59,40,35,33,49,52,69,56
15849188,65,50,46,42,44,49,31,60,40,36,32,48,52,67,56
15849189,65,50,47,42,44,47,31,60,40,36,32,49,52,67,55
15849190,64,50,47,42,44,47,31,61,40,36,32,50,52,67,54
15849191,64,50,48,41,43,47,31,61,39,36,32,52,52,68,54
15849192,64,50,49,41,44,49,33,61,38,36,32,52,53,67,55
15849193,62,50,49,41,44,49,34,61,38,36,31,52,54,66,55
15849194,60,50,49,41,43,49,34,61,37,36,32,52,56,66,55
15849195,60,49,48,41,41,49,34,60,37,36,35,51,55,67,53
15849196,59,49,48,39,41,49,34,58,37,36,35,49,54,65,53
15849197,57,49,48,39,40,49,34,58,37,37,35,49,54,67,52
15849198,55,49,47,38,40,48,33,56,35,37,33,49,54,66,52
15849199,55,50,46,38,40,47,34,58,35,37,34,48,53,67,52
15849200,55,49,46,39,40,47,34,56,35,36,34,48,52,66,52
15849201,56,49,46,39,38,48,34,56,35,36,34,48,53,68,52
15849202,56,49,44,39,38,50,33,56,35,37,33,47,51,69,53
15849203,56,50,44,40,38,50,34,57,35,37,34,47,51,68,52
15849204,55,50,45,40,38,50,33,57,34,37,34,47,51,68,51
15849205,55,51,45,40,38,51,32,58,34,37,34,47,51,68,49
15849206,55,51,45,39,38,51,31,57,34,37,34,47,51,68,49
15849207,54,51,43,39,39,51,32,56,34,37,35,46,50,68,49
15849208,54,52,41,40,39,51,32,56,33,37,34,46,51,68,49
15849209,54,52,42,41,39,51,33,56,33,37,33,48,51,66,48
15849210,54,52,41,42,41,50,33,56,33,36,33,47,50,67,49
15849211,54,52,41,42,41,50,33,56,34,38,32,47,50,68,49
15849212,54,53,41,43,40,50,32,57,34,38,35,47,50,68,50
15849213,54,53,43,42,40,50,32,57,34,37,35,46,49,69,49
15849214,53,49,44,42,41,52,31,56,34,37,33,47,49,68,48
15849215,52,48,44,42,41,53,31,56,33,36,34,46,49,69,48
15849216,52,47,44,42,41,54,31,56,34,36,34,45,50,70,48
15849217,53,46,43,42,41,54,31,56,34,36,35,44,50,69,49
15849218,53,46,45,42,40,52,31,56,34,35,35,43,49,69,48
15849219,53,46,43,42,39,52,31,57,34,35,35,44,49,69,46
15849220,53,46,42,42,41,53,30,56,34,35,35,45,49,69,47
15849221,53,45,42,41,41,54,30,56,34,35,36,44,48,67,46
15849222,53,45,42,42,39,56,30,56,34,35,36,45,49,65,46
15849223,53,45,43,43,39,54,30,56,34,35,36,46,49,65,46
15849224,50,46,43,43,39,54,30,57,34,36,37,46,49,65,46
15849225,50,46,42,43,39,55,31,57,33,36,37,47,49,64,48
15849226,51,46,42,43,38,54,32,59,32,36,36,47,49,64,47
15849227,51,46,42,43,37,54,33,59,33,36,37,46,51,64,47
15849228,51,46,43,43,37,54,36,59,32,36,37,46,50,64,47
15849229,51,46,43,44,38,54,36,60,32,37,38,48,51,64,47
15849230,50,47,42,45,38,53,35,60,32,37,38,48,51,64,47
15849231,50,47,42,45,37,53,36,59,32,36,38,48,51,64,48
15849232,50,47,42,45,37,53,36,59,33,36,38,48,51,65,47
15849233,47,48,42,45,38,52,35,59,32,37,38,49,51,65,47
15849234,47,48,42,46,38,52,35,59,32,37,39,49,51,65,45
15849235,48,48,41,45,36,51,35,58,32,37,38,49,51,65,44
15849236,47,49,41,45,34,52,36,58,31,37,38,49,53,64,44
15849237,47,47,42,45,34,53,36,58,31,37,38,49,53,65,44
15849238,48,46,44,45,35,54,36,58,31,37,38,50,53,64,44
15849239,48,45,44,45,34,54,36,59,30,38,38,51,53,64,45
15849240,48,45,44,44,34,54,36,58,30,38,38,51,53,64,45
15849241,48,45,44,44,34,54,35,57,31,38,39,51,53,64,46
15849242,48,44,44,44,34,53,35,56,31,36,41,50,53,66,43
15849243,46,43,45,44,33,52,35,56,31,38,41,50,51,67,43
15849244,47,43,49,43,34,53,35,57,32,38,41,51,51,68,43
15849245,45,42,50,42,36,53,35,56,32,39,41,52,52,68,43
15849246,45,42,50,42,38,53,34,56,32,39,43,53,52,68,43
15849247,45,42,51,42,39,53,34,54,34,41,44,53,52,69,44
15849248,45,43,51,41,39,52,34,52,34,41,44,53,53,69,45
15849249,45,43,52,41,39,52,34,52,34,42,45,53,53,69,45
15849250,43,43,52,42,39,50,34,52,34,42,45,53,51,69,45
15849251,42,42,52,40,41,50,34,52,35,42,45,53,51,69,44
15849252,42,42,52,40,41,50,34,52,37,42,45,52,51,69,43
15849253,42,42,52,39,40,50,33,51,37,41,45,51,51,68,43
15849254,42,43,53,39,41,50,33,50,37,41,45,51,51,68,43
15849255,42,45,52,39,40,50,34,50,38,39,45,51,51,67,43
15849256,42,45,52,38,42,51,32,50,38,39,46,51,51,67,43
15849257,43,45,52,39,43,51,32,50,38,39,48,53,51,71,43
15849258,44,43,52,39,44,51,32,50,38,39,48,54,50,72,43
15849259,46,43,52,39,45,51,33,50,39,39,48,54,50,72,43
15849260,46,43,49,37,45,52,33,50,39,39,49,53,52,72,43
15849261,45,42,49,37,44,52,33,49,39,39,49,53,53,72,44
15849262,44,40,49,38,44,51,34,49,38,39,49,53,53,72,44
15849263,44,39,48,38,44,52,34,47,38,37,49,53,55,72,44
15849264,43,39,48,36,43,53,35,47,37,37,49,52,55,72,44
15849265,43,39,49,36,43,54,35,47,37,36,49,53,55,71,44
15849266,43,39,49,37,44,53,35,47,36,36,48,52,55,71,44
15849267,43,39,49,37,45,54,35,47,34,35,48,52,54,71,44
15849268,42,39,50,37,45,54,35,46,34,35,46,51,54,71,44
15849269,41,39,51,36,44,54,35,45,34,34,46,52,55,71,44
15849270,41,40,51,37,44,53,35,45,34,34,45,52,57,72,44
15849271,41,40,52,37,44,53,35,45,34,35,45,52,56,72,44
15849272,41,40,52,37,44,53,36,43,33,35,45,52,56,72,44
15849273,41,40,53,36,44,53,36,43,33,34,45,52,55,72,44
15849274,41,39,52,35,45,53,36,44,33,33,45,51,52,70,44
15849275,41,39,51,35,45,53,36,44,33,32,44,50,52,70,44
15849276,42,40,51,35,45,53,36,44,34,32,43,51,52,72,44
15849277,42,42,51,35,46,52,36,44,37,33,43,51,52,73,45
15849278,42,42,51,35,45,52,36,42,39,33,41,51,50,73,44
15849279,41,42,50,35,45,52,35,42,38,34,41,51,50,73,44
15849280,42,41,50,35,44,51,35,41,38,34,41,50,49,74,43
15849281,42,42,50,35,46,51,35,41,38,35,41,49,49,75,42
15849282,40,42,50,35,46,51,35,41,38,35,41,50,50,76,43
15849283,42,41,49,37,47,50,35,41,38,35,41,51,50,76,43
15849284,42,41,49,37,46,50,35,42,38,34,41,50,50,78,43
15849285,42,41,49,35,46,49,36,42,38,34,40,50,50,78,41
15849286,42,41,49,35,46,48,35,42,38,33,40,50,51,77,40
15849287,41,41,49,35,46,49,35,42,38,33,39,50,51,76,40
15849288,41,41,49,34,46,49,35,42,39,33,39,50,51,76,40
15849289,41,40,50,34,46,49,35,43,39,33,39,50,49,76,39
15849290,41,40,50,34,46,49,35,43,39,33,39,51,49,76,39
15849291,42,40,50,34,46,50,35,43,39,34,39,50,49,76,38
15849292,43,40,50,36,46,50,35,43,39,33,40,50,49,77,38
15849293,43,40,50,37,45,50,35,43,39,33,40,50,49,77,39
15849294,42,39,49,38,45,50,35,42,38,33,40,50,50,76,39
15849295,42,38,49,38,45,50,36,41,37,33,40,50,50,77,39
15849296,41,38,50,38,46,50,36,41,37,31,40,50,50,77,38
15849297,40,37,50,38,46,50,36,42,36,31,39,51,49,77,39
15849298,41,36,50,39,46,49,36,41,36,31,39,51,48,77,38
15849299,42,36,50,39,46,49,34,41,36,31,39,51,48,75,38
15849300,42,35,50,38,45,48,33,41,35,31,39,51,48,75,37
15849301,41,33,50,39,46,47,32,41,34,31,39,51,47,75,38
15849302,42,33,51,37,46,47,33,40,34,31,38,51,47,75,39
15849303,42,33,51,38,46,46,33,40,34,31,38,51,45,75,39
15849304,45,33,51,39,46,46,32,38,34,30,37,51,44,74,38
15849305,45,33,49,39,46,46,32,38,33,31,37,50,44,74,38
15849306,44,33,49,39,47,47,32,38,34,31,37,52,45,75,36
15849307,44,33,49,39,46,48,32,38,35,32,37,52,45,75,36
15849308,44,33,48,39,46,48,32,37,37,31,39,52,45,76,37
15849309,46,32,49,39,46,48,33,37,37,31,41,51,44,78,36
15849310,44,32,49,39,47,48,33,37,39,31,41,51,44,78,36
15849311,45,33,48,41,48,49,34,36,39,31,41,52,44,78,36
15849312,45,33,48,41,48,50,34,36,39,31,41,52,45,77,36
15849313,45,33,48,40,49,50,34,34,40,32,41,52,45,77,36
15849314,46,35,48,40,49,50,34,34,40,31,41,52,45,76,37
15849315,47,35,48,41,48,49,35,33,40,31,41,52,45,76,36
15849316,47,35,48,41,48,49,35,33,39,31,41,52,45,77,37
15849317,47,35,48,40,48,49,35,33,40,30,42,52,46,74,37
15849318,47,35,48,39,48,48,35,31,40,30,42,52,46,74,37
15849319,43,35,48,39,48,49,34,33,39,30,43,52,46,74,37
15849320,44,37,48,39,46,48,34,33,40,30,43,50,46,72,39
15849321,44,38,47,40,46,48,34,32,40,31,43,50,46,71,38
15849322,44,38,47,40,46,48,34,32,41,31,43,50,46,70,40
15849323,44,39,47,40,46,47,34,33,41,31,42,50,47,70,40
15849324,45,38,47,40,46,47,35,33,41,33,42,51,48,69,41
15849325,45,38,45,42,46,46,36,33,41,33,43,51,48,69,41
15849326,44,38,46,43,46,47,36,33,41,33,44,53,51,69,41
15849327,44,38,46,44,46,47,36,32,40,33,44,53,51,67,41
15849328,42,38,46,45,46,46,36,33,40,33,44,54,50,67,41
15849329,43,37,46,44,47,47,37,33,40,33,45,55,50,68,41
15849330,41,37,46,44,50,45,36,32,40,32,44,52,50,67,41
15849331,41,38,47,45,50,45,36,32,40,32,44,53,52,68,42
15849332,41,37,47,45,50,46,37,32,40,32,45,53,53,68,42
15849333,41,38,47,45,51,46,37,31,40,32,45,53,53,65,42
15849334,40,38,47,45,52,45,37,31,41,32,46,53,53,65,42
15849335,40,38,47,44,52,46,37,31,41,33,46,53,52,64,45
15849336,40,38,47,44,52,46,37,31,41,33,45,53,52,64,45
15849337,39,38,48,46,53,47,36,30,42,33,45,54,52,64,45
15849338,39,37,48,46,52,47,35,30,43,32,45,55,52,63,44
15849339,39,36,48,46,52,48,35,29,44,31,45,55,52,65,44
15849340,38,36,48,46,51,48,35,30,44,31,45,54,53,66,45
15849341,38,37,49,46,52,48,35,29,44,31,45,53,53,67,45
15849342,38,37,49,46,52,48,35,29,45,31,45,51,53,66,45
15849343,39,37,48,46,51,46,33,29,45,31,45,52,51,67,44
15849344,39,37,48,46,51,46,32,29,46,31,45,52,52,68,43
15849345,39,37,48,46,51,46,32,29,46,31,44,52,50,69,43
15849346,39,36,48,47,51,46,32,29,46,31,42,52,50,68,43
15849347,39,36,48,47,51,47,32,29,45,31,43,52,49,69,43
15849348,40,36,48,47,51,47,32,29,45,30,43,52,49,67,45
15849349,40,37,49,47,51,47,33,30,45,31,43,52,49,67,45
15849350,39,36,50,47,51,47,32,28,45,32,43,52,48,66,45
15849351,39,37,51,46,51,48,33,28,45,32,43,53,48,66,44
15849352,38,37,52,46,51,47,33,28,45,32,43,53,48,64,44
15849353,39,37,52,46,51,46,33,28,45,31,44,55,48,62,43
15849354,39,36,52,45,51,46,33,27,47,31,43,55,48,61,43
15849355,39,36,51,47,53,46,33,27,47,32,43,55,48,61,45
15849356,40,36,51,47,53,45,33,26,47,33,43,55,48,61,45
15849357,40,37,51,47,53,46,35,27,47,35,43,55,48,61,45
15849358,41,37,51,47,54,48,34,28,49,36,41,55,49,61,45
15849359,41,36,51,46,54,48,34,28,50,37,42,57,48,62,44
15849360,42,37,50,45,54,48,34,28,51,37,42,55,49,62,45
15849361,43,37,51,43,52,48,34,28,51,36,42,55,50,61,44
15849362,44,37,51,43,52,50,34,28,52,35,42,55,50,60,43
15849363,44,38,51,42,52,51,34,27,51,35,39,55,50,60,41
15849364,44,38,50,42,52,51,35,27,51,35,39,55,50,60,42
15849365,44,38,49,42,51,49,36,27,51,35,40,54,52,60,42
15849366,43,38,49,42,52,48,35,29,51,35,40,53,51,59,42
15849367,43,39,49,42,52,47,35,29,51,35,41,53,51,58,42
15849368,42,39,49,42,52,47,36,29,51,35,41,53,50,58,41
15849369,42,39,47,42,52,48,36,30,51,38,41,54,50,58,43
15849370,42,39,47,43,52,47,37,29,52,39,41,53,51,57,43
15849371,42,39,47,45,50,46,38,29,52,40,41,52,51,58,44
15849372,43,39,47,45,50,47,39,31,52,40,40,53,51,57,44
15849373,43,40,48,44,50,45,39,32,52,40,40,52,50,57,44
15849374,43,40,47,43,50,45,39,35,52,40,40,51,50,58,44
15849375,43,40,47,44,50,45,39,34,50,39,39,51,51,58,44
15849376,43,40,48,45,50,44,39,35,50,39,38,50,53,60,44
15849377,44,40,48,45,51,44,37,33,50,39,39,50,53,60,44
15849378,44,40,49,45,53,44,36,33,49,39,39,50,51,60,44
15849379,45,40,48,45,54,44,33,33,49,39,39,51,50,62,44
15849380,45,42,48,44,53,44,33,32,50,39,38,49,49,62,45
15849381,45,41,48,43,53,44,33,32,50,39,38,49,49,62,44
15849382,46,40,48,43,53,44,32,32,51,39,38,49,49,62,43
15849383,46,40,48,42,53,44,32,32,50,39,38,49,48,61,43
15849384,46,39,48,42,52,44,32,33,50,39,38,48,52,61,43
15849385,46,39,49,41,52,44,31,33,51,39,37,48,52,61,43
15849386,45,39,49,40,52,43,31,32,51,39,37,48,52,61,43
15849387,45,39,49,40,52,42,30,32,51,39,37,49,50,60,43
15849388,45,39,47,40,52,41,30,33,51,38,37,49,51,59,43
15849389,44,40,45,41,51,40,30,33,51,38,37,48,51,60,44
15849390,44,40,44,40,51,40,30,32,51,37,39,47,52,60,43
15849391,44,40,44,41,53,40,30,32,51,37,39,48,53,61,43
15849392,44,40,46,41,54,41,30,32,50,38,39,48,53,61,42
15849393,45,40,46,42,53,42,31,32,50,38,38,48,52,59,42
15849394,45,40,44,42,53,41,30,34,50,36,38,48,52,59,43
15849395,45,40,40,42,53,40,30,33,49,37,38,48,52,58,43
15849396,45,41,40,43,51,40,30,33,49,36,38,47,49,59,43
15849397,45,41,40,43,49,40,30,33,50,36,36,46,51,60,43
15849398,45,41,40,42,48,40,30,34,49,34,35,47,50,59,43
15849399,45,39,40,43,49,41,30,35,49,35,35,47,49,59,43
15849400,45,39,43,43,50,41,30,35,50,34,34,46,49,59,43
15849401,45,40,43,43,50,42,30,35,51,34,34,47,50,61,43
15849402,46,41,43,43,49,42,30,35,50,34,34,47,51,62,44
15849403,47,40,43,43,49,41,30,35,48,35,33,47,52,62,44
15849404,47,40,43,43,49,42,31,35,49,35,33,46,52,63,44
15849405,47,39,42,43,48,42,32,35,50,37,33,46,52,63,44
15849406,47,38,42,43,49,42,31,34,49,37,33,46,52,63,45
15849407,47,38,41,43,47,42,31,35,49,39,32,45,52,63,46
15849408,47,38,41,42,46,42,32,35,50,39,31,43,52,59,46
15849409,47,39,41,42,46,42,32,35,50,39,31,44,52,58,47
15849410,45,39,41,43,45,42,31,35,51,40,31,44,53,59,47
15849411,46,39,41,43,45,41,31,35,52,40,32,44,50,60,49
15849412,46,39,41,44,45,41,32,37,53,40,32,44,49,60,48
15849413,46,39,41,43,45,41,31,37,54,40,32,45,49,59,48
15849414,47,39,41,43,45,41,31,37,54,40,33,45,47,59,49
15849415,48,39,41,43,45,39,31,37,54,40,33,45,47,59,48
15849416,50,39,40,43,45,39,31,37,54,40,33,44,48,58,48
15849417,50,40,40,42,44,39,31,38,54,40,33,44,48,57,48
15849418,50,40,40,42,43,38,31,38,54,40,34,44,48,56,48
15849419,51,40,39,42,43,38,31,39,54,40,36,44,48,57,48
15849420,51,41,39,42,46,38,31,39,57,41,37,45,47,57,48
15849421,51,40,39,42,47,39,31,39,57,41,38,45,46,56,49
15849422,51,42,38,42,48,39,31,39,57,40,38,45,46,56,49
15849423,51,43,38,42,49,39,30,39,57,40,38,45,47,56,49
15849424,52,44,37,43,49,39,30,39,57,41,39,45,48,56,49
15849425,52,44,37,43,48,39,30,38,57,42,40,45,49,57,48
15849426,53,46,37,42,48,40,30,38,57,42,40,46,49,57,49
15849427,52,45,38,42,48,40,30,38,56,42,40,45,49,54,49
15849428,52,44,37,42,47,40,31,38,54,41,40,46,50,54,48
15849429,52,43,38,42,47,40,32,40,52,41,40,46,50,53,48
15849430,51,43,38,42,47,40,32,40,52,40,41,46,51,55,48
15849431,50,45,38,42,48,41,32,40,52,41,41,46,53,54,48
15849432,50,43,38,42,46,41,32,40,52,40,43,46,53,53,48
15849433,50,43,38,42,47,41,33,39,52,40,43,45,52,54,48
15849434,48,44,41,40,47,41,33,39,53,41,43,44,52,54,49
15849435,50,44,41,40,48,41,34,40,54,42,43,46,53,53,51
15849436,50,43,41,40,48,42,33,40,54,42,43,46,53,55,51
15849437,50,43,41,43,48,42,33,40,54,42,45,46,52,55,51
15849438,50,43,41,42,49,41,33,40,54,42,45,46,54,55,51
15849439,50,43,41,42,49,41,34,40,53,42,45,46,55,55,51
15849440,50,43,39,42,49,41,34,39,53,42,45,46,56,55,52
15849441,50,43,39,42,49,41,35,39,53,42,46,45,56,55,52
15849442,50,44,40,42,50,40,35,39,53,41,46,45,57,58,51
15849443,49,45,40,41,50,41,35,39,53,41,45,45,58,57,51
15849444,49,45,41,40,50,41,35,39,52,41,46,45,59,58,51
15849445,49,45,42,39,50,41,35,39,52,41,46,45,58,57,51
15849446,49,45,42,39,50,40,34,39,53,41,46,44,59,57,51
15849447,49,45,40,39,49,40,34,39,55,41,46,44,59,57,51
15849448,49,45,41,39,49,40,34,38,55,43,46,43,59,58,50
15849449,49,45,40,38,49,41,34,38,56,43,46,43,59,60,50
15849450,48,45,41,38,50,43,34,40,57,44,47,45,59,60,50
15849451,48,45,42,38,50,45,34,40,57,44,47,45,59,60,50
15849452,48,45,43,37,49,45,34,40,57,44,47,45,59,60,49
15849453,47,45,42,37,49,45,33,40,57,44,47,47,59,60,49
15849454,47,46,42,37,49,45,34,40,57,44,48,47,59,58,49
15849455,44,47,42,36,49,46,34,40,57,44,48,48,59,58,50
15849456,44,47,42,36,49,46,34,40,57,43,49,48,59,58,50
15849457,43,47,42,36,47,45,34,40,57,42,50,45,58,56,50
15849458,43,47,43,36,47,44,34,40,56,41,50,45,58,56,51
15849459,44,47,43,36,46,44,33,40,54,41,48,47,58,56,50
15849460,44,47,42,36,45,44,33,40,54,41,46,47,59,55,51
15849461,44,47,43,37,45,44,33,40,52,41,46,46,59,55,52
15849462,43,46,42,36,44,42,32,39,52,40,46,45,59,55,53
15849463,43,46,44,36,45,41,33,39,52,41,46,46,58,55,53
15849464,43,46,44,36,44,43,33,39,51,40,46,46,59,57,53
15849465,42,46,45,37,46,43,34,39,51,40,46,46,60,57,52
15849466,44,46,44,36,46,43,34,41,51,40,46,48,61,58,52
15849467,44,46,44,35,46,43,34,41,51,40,46,49,61,57,51
15849468,44,46,44,35,46,43,34,41,54,41,45,49,60,59,51
15849469,44,46,44,35,47,43,34,41,54,42,46,49,60,60,51
15849470,44,47,44,35,47,42,34,39,54,43,45,49,59,60,51
15849471,43,45,45,35,47,42,34,39,54,42,45,49,60,61,49
15849472,43,44,45,34,47,42,34,39,54,41,46,49,60,62,51
15849473,43,44,45,34,47,42,34,39,53,41,46,49,61,61,49
15849474,43,43,45,35,47,42,34,38,53,41,47,49,60,61,49
15849475,42,43,47,35,47,43,33,38,53,39,47,48,59,61,49
15849476,42,43,49,33,48,43,32,38,53,39,47,48,59,61,49
15849477,42,43,48,32,48,42,32,38,53,40,46,46,56,61,49
15849478,42,43,48,31,48,43,32,38,54,40,46,46,56,60,50
15849479,42,43,48,31,48,44,32,37,56,42,47,45,57,60,51
15849480,41,45,47,32,47,43,31,37,56,42,46,44,58,60,51
15849481,41,45,46,32,44,43,32,37,56,42,46,44,58,59,52
15849482,41,45,45,31,45,47,32,37,57,42,46,43,57,58,51
15849483,42,45,46,31,46,47,31,37,58,43,45,45,56,58,52
15849484,42,45,46,31,45,45,32,37,58,43,45,45,56,58,52
15849485,42,46,46,31,44,46,32,37,59,42,44,46,56,59,52
15849486,42,47,47,31,44,45,32,39,60,41,44,46,56,60,49
15849487,42,47,47,31,44,45,32,38,60,43,45,46,56,61,49
15849488,42,47,46,29,42,44,32,38,59,43,45,46,56,60,49
15849489,42,48,46,29,42,44,32,38,58,43,45,47,58,60,49
15849490,41,48,46,29,42,43,32,39,56,43,45,48,59,58,50
