Position,Control_MNP_III_S56_L002,Control_MNP_II_S55_L002,Control_MNP_I_S54_L002,Only_MNP_C1_S57_L002,Only_MNP_C2_S58_L002,Only_MNP_C3_S59_L002,Only_MNP_C4_S60_L002,Plasmid_Ko_P1_S61_L002,Plasmid_Ko_P2_S62_L002,Plasmid_Ko_P3_S63_L002,Plasmid_Ko_P4_S64_L002,RNP_Cas1_S65_L002,RNP_Cas2_S66_L002,RNP_Cas3_S67_L002,RNP_Cas4_S68_L002
15921458,15921458,15921458,15921458,15921458,15921458,15921458,15921458,15921458,15921458,15921458,15921458,15921458,15921458,15921458,15921458
15921459,15921459,15921459,15921459,15921459,15921459,15921459,15921459,15921459,15921459,15921459,15921459,15921459,15921459,15921459,15921459
15921460,15921460,15921460,15921460,15921460,15921460,15921460,15921460,15921460,15921460,15921460,15921460,15921460,15921460,15921460,15921460
15921461,15921461,15921461,15921461,15921461,15921461,15921461,15921461,15921461,15921461,15921461,15921461,15921461,15921461,15921461,15921461
15921462,15921462,15921462,15921462,15921462,15921462,15921462,15921462,15921462,15921462,15921462,15921462,15921462,15921462,15921462,15921462
15921463,15921463,15921463,15921463,15921463,15921463,15921463,15921463,15921463,15921463,15921463,15921463,15921463,15921463,15921463,15921463
15921464,15921464,15921464,15921464,15921464,15921464,15921464,15921464,15921464,15921464,15921464,15921464,15921464,15921464,15921464,15921464
15921465,15921465,15921465,15921465,15921465,15921465,15921465,15921465,15921465,15921465,15921465,15921465,15921465,15921465,15921465,15921465
15921466,15921466,15921466,15921466,15921466,15921466,15921466,15921466,15921466,15921466,15921466,15921466,15921466,15921466,15921466,15921466
15921467,15921467,15921467,15921467,15921467,15921467,15921467,15921467,15921467,15921467,15921467,15921467,15921467,15921467,15921467,15921467
15921468,15921468,15921468,15921468,15921468,15921468,15921468,15921468,15921468,15921468,15921468,15921468,15921468,15921468,15921468,15921468
15921469,15921469,15921469,15921469,15921469,15921469,15921469,15921469,15921469,15921469,15921469,15921469,15921469,15921469,15921469,15921469
15921470,15921470,15921470,15921470,15921470,15921470,15921470,15921470,15921470,15921470,15921470,15921470,15921470,15921470,15921470,15921470
15921471,15921471,15921471,15921471,15921471,15921471,15921471,15921471,15921471,15921471,15921471,15921471,15921471,15921471,15921471,15921471
15921472,15921472,15921472,15921472,15921472,15921472,15921472,15921472,15921472,15921472,15921472,15921472,15921472,15921472,15921472,15921472
15921473,15921473,15921473,15921473,15921473,15921473,15921473,15921473,15921473,15921473,15921473,15921473,15921473,15921473,15921473,15921473
15921474,15921474,15921474,15921474,15921474,15921474,15921474,15921474,15921474,15921474,15921474,15921474,15921474,15921474,15921474,15921474
15921475,15921475,15921475,15921475,15921475,15921475,15921475,15921475,15921475,15921475,15921475,15921475,15921475,15921475,15921475,15921475
15921476,15921476,15921476,15921476,15921476,15921476,15921476,15921476,15921476,15921476,15921476,15921476,15921476,15921476,15921476,15921476
15921477,15921477,15921477,15921477,15921477,15921477,15921477,15921477,15921477,15921477,15921477,15921477,15921477,15921477,15921477,15921477
15921478,15921478,15921478,15921478,15921478,15921478,15921478,15921478,15921478,15921478,15921478,15921478,15921478,15921478,15921478,15921478
15921479,15921479,15921479,15921479,15921479,15921479,15921479,15921479,15921479,15921479,15921479,15921479,15921479,15921479,15921479,15921479
15921480,15921480,15921480,15921480,15921480,15921480,15921480,15921480,15921480,15921480,15921480,15921480,15921480,15921480,15921480,15921480
15921481,15921481,15921481,15921481,15921481,15921481,15921481,15921481,15921481,15921481,15921481,15921481,15921481,15921481,15921481,15921481
15921482,15921482,15921482,15921482,15921482,15921482,15921482,15921482,15921482,15921482,15921482,15921482,15921482,15921482,15921482,15921482
15921483,15921483,15921483,15921483,15921483,15921483,15921483,15921483,15921483,15921483,15921483,15921483,15921483,15921483,15921483,15921483
15921484,15921484,15921484,15921484,15921484,15921484,15921484,15921484,15921484,15921484,15921484,15921484,15921484,15921484,15921484,15921484
15921485,15921485,15921485,15921485,15921485,15921485,15921485,15921485,15921485,15921485,15921485,15921485,15921485,15921485,15921485,15921485
15921486,15921486,15921486,15921486,15921486,15921486,15921486,15921486,15921486,15921486,15921486,15921486,15921486,15921486,15921486,15921486
15921487,15921487,15921487,15921487,15921487,15921487,15921487,15921487,15921487,15921487,15921487,15921487,15921487,15921487,15921487,15921487
15921488,15921488,15921488,15921488,15921488,15921488,15921488,15921488,15921488,15921488,15921488,15921488,15921488,15921488,15921488,15921488
15921489,15921489,15921489,15921489,15921489,15921489,15921489,15921489,15921489,15921489,15921489,15921489,15921489,15921489,15921489,15921489
15921490,15921490,15921490,15921490,15921490,15921490,15921490,15921490,15921490,15921490,15921490,15921490,15921490,15921490,15921490,15921490
15921491,15921491,15921491,15921491,15921491,15921491,15921491,15921491,15921491,15921491,15921491,15921491,15921491,15921491,15921491,15921491
15921492,15921492,15921492,15921492,15921492,15921492,15921492,15921492,15921492,15921492,15921492,15921492,15921492,15921492,15921492,15921492
15921493,15921493,15921493,15921493,15921493,15921493,15921493,15921493,15921493,15921493,15921493,15921493,15921493,15921493,15921493,15921493
15921494,15921494,15921494,15921494,15921494,15921494,15921494,15921494,15921494,15921494,15921494,15921494,15921494,15921494,15921494,15921494
15921495,15921495,15921495,15921495,15921495,15921495,15921495,15921495,15921495,15921495,15921495,15921495,15921495,15921495,15921495,15921495
15921496,15921496,15921496,15921496,15921496,15921496,15921496,15921496,15921496,15921496,15921496,15921496,15921496,15921496,15921496,15921496
15921497,15921497,15921497,15921497,15921497,15921497,15921497,15921497,15921497,15921497,15921497,15921497,15921497,15921497,15921497,15921497
15921498,15921498,15921498,15921498,15921498,15921498,15921498,15921498,15921498,15921498,15921498,15921498,15921498,15921498,15921498,15921498
15921499,15921499,15921499,15921499,15921499,15921499,15921499,15921499,15921499,15921499,15921499,15921499,15921499,15921499,15921499,15921499
15921500,15921500,15921500,15921500,15921500,15921500,15921500,15921500,15921500,15921500,15921500,15921500,15921500,15921500,15921500,15921500
15921501,15921501,15921501,15921501,15921501,15921501,15921501,15921501,15921501,15921501,15921501,15921501,15921501,15921501,15921501,15921501
15921502,15921502,15921502,15921502,15921502,15921502,15921502,15921502,15921502,15921502,15921502,15921502,15921502,15921502,15921502,15921502
15921503,15921503,15921503,15921503,15921503,15921503,15921503,15921503,15921503,15921503,15921503,15921503,15921503,15921503,15921503,15921503
15921504,15921504,15921504,15921504,15921504,15921504,15921504,15921504,15921504,15921504,15921504,15921504,15921504,15921504,15921504,15921504
15921505,15921505,15921505,15921505,15921505,15921505,15921505,15921505,15921505,15921505,15921505,15921505,15921505,15921505,15921505,15921505
15921506,15921506,15921506,15921506,15921506,15921506,15921506,15921506,15921506,15921506,15921506,15921506,15921506,15921506,15921506,15921506
15921507,15921507,15921507,15921507,15921507,15921507,15921507,15921507,15921507,15921507,15921507,15921507,15921507,15921507,15921507,15921507
15921508,15921508,15921508,15921508,15921508,15921508,15921508,15921508,15921508,15921508,15921508,15921508,15921508,15921508,15921508,15921508
15921509,15921509,15921509,15921509,15921509,15921509,15921509,15921509,15921509,15921509,15921509,15921509,15921509,15921509,15921509,15921509
15921510,15921510,15921510,15921510,15921510,15921510,15921510,15921510,15921510,15921510,15921510,15921510,15921510,15921510,15921510,15921510
15921511,15921511,15921511,15921511,15921511,15921511,15921511,15921511,15921511,15921511,15921511,15921511,15921511,15921511,15921511,15921511
15921512,15921512,15921512,15921512,15921512,15921512,15921512,15921512,15921512,15921512,15921512,15921512,15921512,15921512,15921512,15921512
15921513,15921513,15921513,15921513,15921513,15921513,15921513,15921513,15921513,15921513,15921513,15921513,15921513,15921513,15921513,15921513
15921514,15921514,15921514,15921514,15921514,15921514,15921514,15921514,15921514,15921514,15921514,15921514,15921514,15921514,15921514,15921514
15921515,15921515,15921515,15921515,15921515,15921515,15921515,15921515,15921515,15921515,15921515,15921515,15921515,15921515,15921515,15921515
15921516,15921516,15921516,15921516,15921516,15921516,15921516,15921516,15921516,15921516,15921516,15921516,15921516,15921516,15921516,15921516
15921517,15921517,15921517,15921517,15921517,15921517,15921517,15921517,15921517,15921517,15921517,15921517,15921517,15921517,15921517,15921517
15921518,15921518,15921518,15921518,15921518,15921518,15921518,15921518,15921518,15921518,15921518,15921518,15921518,15921518,15921518,15921518
15921519,15921519,15921519,15921519,15921519,15921519,15921519,15921519,15921519,15921519,15921519,15921519,15921519,15921519,15921519,15921519
15921520,15921520,15921520,15921520,15921520,15921520,15921520,15921520,15921520,15921520,15921520,15921520,15921520,15921520,15921520,15921520
15921521,15921521,15921521,15921521,15921521,15921521,15921521,15921521,15921521,15921521,15921521,15921521,15921521,15921521,15921521,15921521
15921522,15921522,15921522,15921522,15921522,15921522,15921522,15921522,15921522,15921522,15921522,15921522,15921522,15921522,15921522,15921522
15921523,15921523,15921523,15921523,15921523,15921523,15921523,15921523,15921523,15921523,15921523,15921523,15921523,15921523,15921523,15921523
15921524,15921524,15921524,15921524,15921524,15921524,15921524,15921524,15921524,15921524,15921524,15921524,15921524,15921524,15921524,15921524
15921525,15921525,15921525,15921525,15921525,15921525,15921525,15921525,15921525,15921525,15921525,15921525,15921525,15921525,15921525,15921525
15921526,15921526,15921526,15921526,15921526,15921526,15921526,15921526,15921526,15921526,15921526,15921526,15921526,15921526,15921526,15921526
15921527,15921527,15921527,15921527,15921527,15921527,15921527,15921527,15921527,15921527,15921527,15921527,15921527,15921527,15921527,15921527
15921528,15921528,15921528,15921528,15921528,15921528,15921528,15921528,15921528,15921528,15921528,15921528,15921528,15921528,15921528,15921528
15921529,15921529,15921529,15921529,15921529,15921529,15921529,15921529,15921529,15921529,15921529,15921529,15921529,15921529,15921529,15921529
15921530,15921530,15921530,15921530,15921530,15921530,15921530,15921530,15921530,15921530,15921530,15921530,15921530,15921530,15921530,15921530
15921531,15921531,15921531,15921531,15921531,15921531,15921531,15921531,15921531,15921531,15921531,15921531,15921531,15921531,15921531,15921531
15921532,15921532,15921532,15921532,15921532,15921532,15921532,15921532,15921532,15921532,15921532,15921532,15921532,15921532,15921532,15921532
15921533,15921533,15921533,15921533,15921533,15921533,15921533,15921533,15921533,15921533,15921533,15921533,15921533,15921533,15921533,15921533
15921534,15921534,15921534,15921534,15921534,15921534,15921534,15921534,15921534,15921534,15921534,15921534,15921534,15921534,15921534,15921534
15921535,15921535,15921535,15921535,15921535,15921535,15921535,15921535,15921535,15921535,15921535,15921535,15921535,15921535,15921535,15921535
15921536,15921536,15921536,15921536,15921536,15921536,15921536,15921536,15921536,15921536,15921536,15921536,15921536,15921536,15921536,15921536
15921537,15921537,15921537,15921537,15921537,15921537,15921537,15921537,15921537,15921537,15921537,15921537,15921537,15921537,15921537,15921537
15921538,15921538,15921538,15921538,15921538,15921538,15921538,15921538,15921538,15921538,15921538,15921538,15921538,15921538,15921538,15921538
15921539,15921539,15921539,15921539,15921539,15921539,15921539,15921539,15921539,15921539,15921539,15921539,15921539,15921539,15921539,15921539
15921540,15921540,15921540,15921540,15921540,15921540,15921540,15921540,15921540,15921540,15921540,15921540,15921540,15921540,15921540,15921540
15921541,15921541,15921541,15921541,15921541,15921541,15921541,15921541,15921541,15921541,15921541,15921541,15921541,15921541,15921541,15921541
15921542,15921542,15921542,15921542,15921542,15921542,15921542,15921542,15921542,15921542,15921542,15921542,15921542,15921542,15921542,15921542
15921543,15921543,15921543,15921543,15921543,15921543,15921543,15921543,15921543,15921543,15921543,15921543,15921543,15921543,15921543,15921543
15921544,15921544,15921544,15921544,15921544,15921544,15921544,15921544,15921544,15921544,15921544,15921544,15921544,15921544,15921544,15921544
15921545,15921545,15921545,15921545,15921545,15921545,15921545,15921545,15921545,15921545,15921545,15921545,15921545,15921545,15921545,15921545
15921546,15921546,15921546,15921546,15921546,15921546,15921546,15921546,15921546,15921546,15921546,15921546,15921546,15921546,15921546,15921546
15921547,15921547,15921547,15921547,15921547,15921547,15921547,15921547,15921547,15921547,15921547,15921547,15921547,15921547,15921547,15921547
15921548,15921548,15921548,15921548,15921548,15921548,15921548,15921548,15921548,15921548,15921548,15921548,15921548,15921548,15921548,15921548
15921549,15921549,15921549,15921549,15921549,15921549,15921549,15921549,15921549,15921549,15921549,15921549,15921549,15921549,15921549,15921549
15921550,15921550,15921550,15921550,15921550,15921550,15921550,15921550,15921550,15921550,15921550,15921550,15921550,15921550,15921550,15921550
15921551,15921551,15921551,15921551,15921551,15921551,15921551,15921551,15921551,15921551,15921551,15921551,15921551,15921551,15921551,15921551
15921552,15921552,15921552,15921552,15921552,15921552,15921552,15921552,15921552,15921552,15921552,15921552,15921552,15921552,15921552,15921552
15921553,15921553,15921553,15921553,15921553,15921553,15921553,15921553,15921553,15921553,15921553,15921553,15921553,15921553,15921553,15921553
15921554,15921554,15921554,15921554,15921554,15921554,15921554,15921554,15921554,15921554,15921554,15921554,15921554,15921554,15921554,15921554
15921555,15921555,15921555,15921555,15921555,15921555,15921555,15921555,15921555,15921555,15921555,15921555,15921555,15921555,15921555,15921555
15921556,15921556,15921556,15921556,15921556,15921556,15921556,15921556,15921556,15921556,15921556,15921556,15921556,15921556,15921556,15921556
15921557,15921557,15921557,15921557,15921557,15921557,15921557,15921557,15921557,15921557,15921557,15921557,15921557,15921557,15921557,15921557
15921558,15921558,15921558,15921558,15921558,15921558,15921558,15921558,15921558,15921558,15921558,15921558,15921558,15921558,15921558,15921558
15921559,15921559,15921559,15921559,15921559,15921559,15921559,15921559,15921559,15921559,15921559,15921559,15921559,15921559,15921559,15921559
15921560,15921560,15921560,15921560,15921560,15921560,15921560,15921560,15921560,15921560,15921560,15921560,15921560,15921560,15921560,15921560
15921561,15921561,15921561,15921561,15921561,15921561,15921561,15921561,15921561,15921561,15921561,15921561,15921561,15921561,15921561,15921561
15921562,15921562,15921562,15921562,15921562,15921562,15921562,15921562,15921562,15921562,15921562,15921562,15921562,15921562,15921562,15921562
15921563,15921563,15921563,15921563,15921563,15921563,15921563,15921563,15921563,15921563,15921563,15921563,15921563,15921563,15921563,15921563
15921564,15921564,15921564,15921564,15921564,15921564,15921564,15921564,15921564,15921564,15921564,15921564,15921564,15921564,15921564,15921564
15921565,15921565,15921565,15921565,15921565,15921565,15921565,15921565,15921565,15921565,15921565,15921565,15921565,15921565,15921565,15921565
15921566,15921566,15921566,15921566,15921566,15921566,15921566,15921566,15921566,15921566,15921566,15921566,15921566,15921566,15921566,15921566
15921567,15921567,15921567,15921567,15921567,15921567,15921567,15921567,15921567,15921567,15921567,15921567,15921567,15921567,15921567,15921567
15921568,15921568,15921568,15921568,15921568,15921568,15921568,15921568,15921568,15921568,15921568,15921568,15921568,15921568,15921568,15921568
15921569,15921569,15921569,15921569,15921569,15921569,15921569,15921569,15921569,15921569,15921569,15921569,15921569,15921569,15921569,15921569
15921570,15921570,15921570,15921570,15921570,15921570,15921570,15921570,15921570,15921570,15921570,15921570,15921570,15921570,15921570,15921570
15921571,15921571,15921571,15921571,15921571,15921571,15921571,15921571,15921571,15921571,15921571,15921571,15921571,15921571,15921571,15921571
15921572,15921572,15921572,15921572,15921572,15921572,15921572,15921572,15921572,15921572,15921572,15921572,15921572,15921572,15921572,15921572
15921573,15921573,15921573,15921573,15921573,15921573,15921573,15921573,15921573,15921573,15921573,15921573,15921573,15921573,15921573,15921573
15921574,15921574,15921574,15921574,15921574,15921574,15921574,15921574,15921574,15921574,15921574,15921574,15921574,15921574,15921574,15921574
15921575,15921575,15921575,15921575,15921575,15921575,15921575,15921575,15921575,15921575,15921575,15921575,15921575,15921575,15921575,15921575
15921576,15921576,15921576,15921576,15921576,15921576,15921576,15921576,15921576,15921576,15921576,15921576,15921576,15921576,15921576,15921576
15921577,15921577,15921577,15921577,15921577,15921577,15921577,15921577,15921577,15921577,15921577,15921577,15921577,15921577,15921577,15921577
15921578,15921578,15921578,15921578,15921578,15921578,15921578,15921578,15921578,15921578,15921578,15921578,15921578,15921578,15921578,15921578
15921579,15921579,15921579,15921579,15921579,15921579,15921579,15921579,15921579,15921579,15921579,15921579,15921579,15921579,15921579,15921579
15921580,15921580,15921580,15921580,15921580,15921580,15921580,15921580,15921580,15921580,15921580,15921580,15921580,15921580,15921580,15921580
15921581,15921581,15921581,15921581,15921581,15921581,15921581,15921581,15921581,15921581,15921581,15921581,15921581,15921581,15921581,15921581
15921582,15921582,15921582,15921582,15921582,15921582,15921582,15921582,15921582,15921582,15921582,15921582,15921582,15921582,15921582,15921582
15921583,15921583,15921583,15921583,15921583,15921583,15921583,15921583,15921583,15921583,15921583,15921583,15921583,15921583,15921583,15921583
15921584,15921584,15921584,15921584,15921584,15921584,15921584,15921584,15921584,15921584,15921584,15921584,15921584,15921584,15921584,15921584
15921585,15921585,15921585,15921585,15921585,15921585,15921585,15921585,15921585,15921585,15921585,15921585,15921585,15921585,15921585,15921585
15921586,15921586,15921586,15921586,15921586,15921586,15921586,15921586,15921586,15921586,15921586,15921586,15921586,15921586,15921586,15921586
15921587,15921587,15921587,15921587,15921587,15921587,15921587,15921587,15921587,15921587,15921587,15921587,15921587,15921587,15921587,15921587
15921588,15921588,15921588,15921588,15921588,15921588,15921588,15921588,15921588,15921588,15921588,15921588,15921588,15921588,15921588,15921588
15921589,15921589,15921589,15921589,15921589,15921589,15921589,15921589,15921589,15921589,15921589,15921589,15921589,15921589,15921589,15921589
15921590,15921590,15921590,15921590,15921590,15921590,15921590,15921590,15921590,15921590,15921590,15921590,15921590,15921590,15921590,15921590
15921591,15921591,15921591,15921591,15921591,15921591,15921591,15921591,15921591,15921591,15921591,15921591,15921591,15921591,15921591,15921591
15921592,15921592,15921592,15921592,15921592,15921592,15921592,15921592,15921592,15921592,15921592,15921592,15921592,15921592,15921592,15921592
15921593,15921593,15921593,15921593,15921593,15921593,15921593,15921593,15921593,15921593,15921593,15921593,15921593,15921593,15921593,15921593
15921594,15921594,15921594,15921594,15921594,15921594,15921594,15921594,15921594,15921594,15921594,15921594,15921594,15921594,15921594,15921594
15921595,15921595,15921595,15921595,15921595,15921595,15921595,15921595,15921595,15921595,15921595,15921595,15921595,15921595,15921595,15921595
15921596,15921596,15921596,15921596,15921596,15921596,15921596,15921596,15921596,15921596,15921596,15921596,15921596,15921596,15921596,15921596
15921597,15921597,15921597,15921597,15921597,15921597,15921597,15921597,15921597,15921597,15921597,15921597,15921597,15921597,15921597,15921597
15921598,15921598,15921598,15921598,15921598,15921598,15921598,15921598,15921598,15921598,15921598,15921598,15921598,15921598,15921598,15921598
15921599,15921599,15921599,15921599,15921599,15921599,15921599,15921599,15921599,15921599,15921599,15921599,15921599,15921599,15921599,15921599
15921600,15921600,15921600,15921600,15921600,15921600,15921600,15921600,15921600,15921600,15921600,15921600,15921600,15921600,15921600,15921600
15921601,15921601,15921601,15921601,15921601,15921601,15921601,15921601,15921601,15921601,15921601,15921601,15921601,15921601,15921601,15921601
15921602,15921602,15921602,15921602,15921602,15921602,15921602,15921602,15921602,15921602,15921602,15921602,15921602,15921602,15921602,15921602
15921603,15921603,15921603,15921603,15921603,15921603,15921603,15921603,15921603,15921603,15921603,15921603,15921603,15921603,15921603,15921603
15921604,15921604,15921604,15921604,15921604,15921604,15921604,15921604,15921604,15921604,15921604,15921604,15921604,15921604,15921604,15921604
15921605,15921605,15921605,15921605,15921605,15921605,15921605,15921605,15921605,15921605,15921605,15921605,15921605,15921605,15921605,15921605
15921606,15921606,15921606,15921606,15921606,15921606,15921606,15921606,15921606,15921606,15921606,15921606,15921606,15921606,15921606,15921606
15921607,15921607,15921607,15921607,15921607,15921607,15921607,15921607,15921607,15921607,15921607,15921607,15921607,15921607,15921607,15921607
15921608,15921608,15921608,15921608,15921608,15921608,15921608,15921608,15921608,15921608,15921608,15921608,15921608,15921608,15921608,15921608
15921609,15921609,15921609,15921609,15921609,15921609,15921609,15921609,15921609,15921609,15921609,15921609,15921609,15921609,15921609,15921609
15921610,15921610,15921610,15921610,15921610,15921610,15921610,15921610,15921610,15921610,15921610,15921610,15921610,15921610,15921610,15921610
15921611,15921611,15921611,15921611,15921611,15921611,15921611,15921611,15921611,15921611,15921611,15921611,15921611,15921611,15921611,15921611
15921612,15921612,15921612,15921612,15921612,15921612,15921612,15921612,15921612,15921612,15921612,15921612,15921612,15921612,15921612,15921612
15921613,15921613,15921613,15921613,15921613,15921613,15921613,15921613,15921613,15921613,15921613,15921613,15921613,15921613,15921613,15921613
15921614,15921614,15921614,15921614,15921614,15921614,15921614,15921614,15921614,15921614,15921614,15921614,15921614,15921614,15921614,15921614
15921615,15921615,15921615,15921615,15921615,15921615,15921615,15921615,15921615,15921615,15921615,15921615,15921615,15921615,15921615,15921615
15921616,15921616,15921616,15921616,15921616,15921616,15921616,15921616,15921616,15921616,15921616,15921616,15921616,15921616,15921616,15921616
15921617,15921617,15921617,15921617,15921617,15921617,15921617,15921617,15921617,15921617,15921617,15921617,15921617,15921617,15921617,15921617
15921618,15921618,15921618,15921618,15921618,15921618,15921618,15921618,15921618,15921618,15921618,15921618,15921618,15921618,15921618,15921618
15921619,15921619,15921619,15921619,15921619,15921619,15921619,15921619,15921619,15921619,15921619,15921619,15921619,15921619,15921619,15921619
15921620,15921620,15921620,15921620,15921620,15921620,15921620,15921620,15921620,15921620,15921620,15921620,15921620,15921620,15921620,15921620
15921621,15921621,15921621,15921621,15921621,15921621,15921621,15921621,15921621,15921621,15921621,15921621,15921621,15921621,15921621,15921621
15921622,15921622,15921622,15921622,15921622,15921622,15921622,15921622,15921622,15921622,15921622,15921622,15921622,15921622,15921622,15921622
15921623,15921623,15921623,15921623,15921623,15921623,15921623,15921623,15921623,15921623,15921623,15921623,15921623,15921623,15921623,15921623
15921624,15921624,15921624,15921624,15921624,15921624,15921624,15921624,15921624,15921624,15921624,15921624,15921624,15921624,15921624,15921624
15921625,15921625,15921625,15921625,15921625,15921625,15921625,15921625,15921625,15921625,15921625,15921625,15921625,15921625,15921625,15921625
15921626,15921626,15921626,15921626,15921626,15921626,15921626,15921626,15921626,15921626,15921626,15921626,15921626,15921626,15921626,15921626
15921627,15921627,15921627,15921627,15921627,15921627,15921627,15921627,15921627,15921627,15921627,15921627,15921627,15921627,15921627,15921627
15921628,15921628,15921628,15921628,15921628,15921628,15921628,15921628,15921628,15921628,15921628,15921628,15921628,15921628,15921628,15921628
15921629,15921629,15921629,15921629,15921629,15921629,15921629,15921629,15921629,15921629,15921629,15921629,15921629,15921629,15921629,15921629
15921630,15921630,15921630,15921630,15921630,15921630,15921630,15921630,15921630,15921630,15921630,15921630,15921630,15921630,15921630,15921630
15921631,15921631,15921631,15921631,15921631,15921631,15921631,15921631,15921631,15921631,15921631,15921631,15921631,15921631,15921631,15921631
15921632,15921632,15921632,15921632,15921632,15921632,15921632,15921632,15921632,15921632,15921632,15921632,15921632,15921632,15921632,15921632
15921633,15921633,15921633,15921633,15921633,15921633,15921633,15921633,15921633,15921633,15921633,15921633,15921633,15921633,15921633,15921633
15921634,15921634,15921634,15921634,15921634,15921634,15921634,15921634,15921634,15921634,15921634,15921634,15921634,15921634,15921634,15921634
15921635,15921635,15921635,15921635,15921635,15921635,15921635,15921635,15921635,15921635,15921635,15921635,15921635,15921635,15921635,15921635
15921636,15921636,15921636,15921636,15921636,15921636,15921636,15921636,15921636,15921636,15921636,15921636,15921636,15921636,15921636,15921636
15921637,15921637,15921637,15921637,15921637,15921637,15921637,15921637,15921637,15921637,15921637,15921637,15921637,15921637,15921637,15921637
15921638,15921638,15921638,15921638,15921638,15921638,15921638,15921638,15921638,15921638,15921638,15921638,15921638,15921638,15921638,15921638
15921639,15921639,15921639,15921639,15921639,15921639,15921639,15921639,15921639,15921639,15921639,15921639,15921639,15921639,15921639,15921639
15921640,15921640,15921640,15921640,15921640,15921640,15921640,15921640,15921640,15921640,15921640,15921640,15921640,15921640,15921640,15921640
15921641,15921641,15921641,15921641,15921641,15921641,15921641,15921641,15921641,15921641,15921641,15921641,15921641,15921641,15921641,15921641
15921642,15921642,15921642,15921642,15921642,15921642,15921642,15921642,15921642,15921642,15921642,15921642,15921642,15921642,15921642,15921642
15921643,15921643,15921643,15921643,15921643,15921643,15921643,15921643,15921643,15921643,15921643,15921643,15921643,15921643,15921643,15921643
15921644,15921644,15921644,15921644,15921644,15921644,15921644,15921644,15921644,15921644,15921644,15921644,15921644,15921644,15921644,15921644
15921645,15921645,15921645,15921645,15921645,15921645,15921645,15921645,15921645,15921645,15921645,15921645,15921645,15921645,15921645,15921645
15921646,15921646,15921646,15921646,15921646,15921646,15921646,15921646,15921646,15921646,15921646,15921646,15921646,15921646,15921646,15921646
15921647,15921647,15921647,15921647,15921647,15921647,15921647,15921647,15921647,15921647,15921647,15921647,15921647,15921647,15921647,15921647
15921648,15921648,15921648,15921648,15921648,15921648,15921648,15921648,15921648,15921648,15921648,15921648,15921648,15921648,15921648,15921648
15921649,15921649,15921649,15921649,15921649,15921649,15921649,15921649,15921649,15921649,15921649,15921649,15921649,15921649,15921649,15921649
